name,channelLink,niche,subject,body
Bro Code,https://www.youtube.com/@BroCodez,Coding & Software Engineering,Collaboration Opportunity for Bro Code,"Hi Bro Code,

I came across your channel and your Java and software engineering tutorials that break complex topics down for beginners.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI-powered coding assistant that helps learners debug and understand Java concepts faster.

Would this be relevant to you?

Best,
Dhurim Halili"
Two Minute Papers,https://www.youtube.com/@TwoMinutePapers,AI Research Summaries,Collaboration Opportunity for Two Minute Papers,"Hi Two Minute Papers,

I came across your channel and how you distill cutting-edge AI research papers into accessible two-minute breakdowns.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI research discovery platform that surfaces the latest papers and generates plain-English summaries for researchers and enthusiasts.

Would this be relevant to you?

Best,
Dhurim Halili"
The Coding Train,https://www.youtube.com/@TheCodingTrain,Creative Coding & JS,Collaboration Opportunity for The Coding Train,"Hi The Coding Train,

I came across your channel and your creative coding challenges and p5.js projects that make programming feel like art.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI creative coding companion that helps viewers experiment with generative art and JavaScript faster.

Would this be relevant to you?

Best,
Dhurim Halili"
Corey Schafer,https://www.youtube.com/@coreyms,Python & Software Dev,Collaboration Opportunity for Corey Schafer,"Hi Corey Schafer,

I came across your channel and your deep-dive Python tutorials on Django, Flask, and real-world software development.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Python tutor chatbot that gives learners instant help while following along with your tutorials.

Would this be relevant to you?

Best,
Dhurim Halili"
Sentdex,https://www.youtube.com/@sentdex,Machine Learning & Python,Collaboration Opportunity for Sentdex,"Hi Sentdex,

I came across your channel and your hands-on Python and machine learning projects from finance to robotics.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI/ML experimentation platform that lets developers prototype models and chat with their datasets.

Would this be relevant to you?

Best,
Dhurim Halili"
Amigoscode,https://www.youtube.com/@amigoscode,Backend Systems & AI Microservices,Collaboration Opportunity for Amigoscode,"Hi Amigoscode,

I came across your channel and your backend engineering and AI microservices content for developers building production systems.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI agent platform for deploying production-ready chatbot and microservice backends.

Would this be relevant to you?

Best,
Dhurim Halili"
Siraj Raval,https://www.youtube.com/@sirajraval,AI & Machine Learning,Collaboration Opportunity for Siraj Raval,"Hi Siraj Raval,

I came across your channel and your energetic AI and machine learning tutorials that get people excited to build with ML.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an all-in-one AI builder toolkit for creating chatbots, agents, and ML-powered apps without heavy setup.

Would this be relevant to you?

Best,
Dhurim Halili"
Coding with Lewis,https://www.youtube.com/@CodingWithLewis,Software Engineering Lifestyle,Collaboration Opportunity for Coding with Lewis,"Hi Coding with Lewis,

I came across your channel and your honest software engineering lifestyle content and day-in-the-life perspective on tech careers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI productivity assistant built for developers who want to ship faster and stay organized.

Would this be relevant to you?

Best,
Dhurim Halili"
Low Level Learning,https://www.youtube.com/@LowLevelLearning,Systems Programming & C,Collaboration Opportunity for Low Level Learning,"Hi Low Level Learning,

I came across your channel and your systems programming deep dives and C language content that goes beneath the abstractions.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI coding assistant optimized for low-level and systems programming workflows.

Would this be relevant to you?

Best,
Dhurim Halili"
The Primeagen,https://www.youtube.com/@ThePrimeagen,Dev Tools & Code Architecture,Collaboration Opportunity for The Primeagen,"Hi The Primeagen,

I came across your channel and your hot takes on developer tooling, Vim, and building better software architecture.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote a next-gen AI dev tool that integrates directly into developer workflows and speeds up code review and refactoring.

Would this be relevant to you?

Best,
Dhurim Halili"
Caleb Curry,https://www.youtube.com/@CalebCurry,Beginner Programming,Collaboration Opportunity for Caleb Curry,"Hi Caleb Curry,

I came across your channel and your structured beginner programming courses that make fundamentals approachable.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI tutoring chatbot designed for programming beginners who need instant answers while learning.

Would this be relevant to you?

Best,
Dhurim Halili"
CodingEntrepreneurs,https://www.youtube.com/@CodingEntrepreneurs,AI Product Dev & Django,Collaboration Opportunity for CodingEntrepreneurs,"Hi CodingEntrepreneurs,

I came across your channel and your Django and AI product development tutorials for builders launching real SaaS products.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI SaaS starter kit with built-in chatbot and agent features for indie founders.

Would this be relevant to you?

Best,
Dhurim Halili"
Wes Roth,https://www.youtube.com/@WesRoth,AI News & Agentic Workflows,Collaboration Opportunity for Wes Roth,"Hi Wes Roth,

I came across your channel and your daily AI news coverage and breakdowns of agentic AI workflows shaping the industry.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI agent platform launching new autonomous workflow tools your audience would want to see first.

Would this be relevant to you?

Best,
Dhurim Halili"
Mike Dane,https://www.youtube.com/@MikeDane,Fundamentals of Coding,Collaboration Opportunity for Mike Dane,"Hi Mike Dane,

I came across your channel and your clear, fundamentals-first coding tutorials that help new developers build a solid foundation.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI learning companion that reinforces coding fundamentals through interactive chat-based practice.

Would this be relevant to you?

Best,
Dhurim Halili"
Riley Brown,https://www.youtube.com/@rileybrownai,Vibe Coding & AI Agents,Collaboration Opportunity for Riley Brown,"Hi Riley Brown,

I came across your channel and your vibe coding content and practical AI agent builds that show what's possible without traditional coding.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote a no-code AI agent builder that lets creators and founders launch chatbot-powered products in minutes.

Would this be relevant to you?

Best,
Dhurim Halili"
AI Explained,https://www.youtube.com/@AIExplained,AI News & Capabilities,Collaboration Opportunity for AI Explained,"Hi AI Explained,

I came across your channel and your thoughtful breakdowns of AI capabilities, limitations, and what the latest models actually mean.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI platform with transparent model capabilities your audience would appreciate an honest review of.

Would this be relevant to you?

Best,
Dhurim Halili"
Yannic Kilcher,https://www.youtube.com/@YannicKilcher,Deep Learning & ML Research,Collaboration Opportunity for Yannic Kilcher,"Hi Yannic Kilcher,

I came across your channel and your in-depth paper reviews and technical deep dives into deep learning research.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI research assistant that helps ML practitioners explore papers, reproduce results, and discuss findings.

Would this be relevant to you?

Best,
Dhurim Halili"
Skill Leap AI,https://www.youtube.com/@SkillLeapAI,AI Tools & Workflows,Collaboration Opportunity for Skill Leap AI,"Hi Skill Leap AI,

I came across your channel and your practical AI tools and workflow tutorials that help people actually use AI in their daily work.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI workflow automation suite with chatbot integrations your audience could adopt immediately.

Would this be relevant to you?

Best,
Dhurim Halili"
AI Foundations,https://www.youtube.com/@AIFoundations,AI Agents & Vibe Coding,Collaboration Opportunity for AI Foundations,"Hi AI Foundations,

I came across your channel and your AI agent tutorials and vibe coding walkthroughs for builders getting started with autonomous AI.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI agent framework with pre-built templates for customer support, sales, and productivity chatbots.

Would this be relevant to you?

Best,
Dhurim Halili"
Greg Kamradt,https://www.youtube.com/@GregKamradt,LLMs & AI Data Pipelines,Collaboration Opportunity for Greg Kamradt,"Hi Greg Kamradt,

I came across your channel and your LLM experiments and AI data pipeline content that pushes the boundaries of what language models can do.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an LLM-powered data pipeline tool with a conversational interface for querying and transforming datasets.

Would this be relevant to you?

Best,
Dhurim Halili"
3Blue1Brown,https://www.youtube.com/@3blue1brown,Math & AI Foundations,Collaboration Opportunity for 3Blue1Brown,"Hi 3Blue1Brown,

I came across your channel and your visually stunning math explanations that build the intuition behind machine learning and neural networks.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI math tutor that uses visual, step-by-step explanations inspired by the way you teach complex concepts.

Would this be relevant to you?

Best,
Dhurim Halili"
Lex Fridman,https://www.youtube.com/@lexfridman,AI Interviews & Tech Podcasts,Collaboration Opportunity for Lex Fridman,"Hi Lex Fridman,

I came across your channel and your long-form conversations with AI researchers and tech leaders shaping the future.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI conversation platform with advanced dialogue capabilities relevant to your audience of AI thinkers.

Would this be relevant to you?

Best,
Dhurim Halili"
Andrej Karpathy,https://www.youtube.com/@AndrejKarpathy,Deep Learning & Neural Networks,Collaboration Opportunity for Andrej Karpathy,"Hi Andrej Karpathy,

I came across your channel and your neural network from scratch series and deep learning education that sets the standard for technical clarity.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI developer platform focused on making neural network experimentation more accessible to builders.

Would this be relevant to you?

Best,
Dhurim Halili"
Theo - t3.gg,https://www.youtube.com/@t3dotgg,Web Dev & Tech Architecture,Collaboration Opportunity for Theo - t3.gg,"Hi Theo - t3.gg,

I came across your channel and your opinionated takes on web dev stacks, TypeScript, and modern tech architecture.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI-powered full-stack dev tool with chatbot integrations that fits the modern JS ecosystem you cover.

Would this be relevant to you?

Best,
Dhurim Halili"
NetworkChuck,https://www.youtube.com/@NetworkChuck,"IT, Networks & Cloud",Collaboration Opportunity for NetworkChuck,"Hi NetworkChuck,

I came across your channel and your high-energy IT, networking, and cloud tutorials that make complex infrastructure fun to learn.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI IT assistant chatbot that helps sysadmins troubleshoot networks and cloud deployments faster.

Would this be relevant to you?

Best,
Dhurim Halili"
StatQuest,https://www.youtube.com/@statquest,Machine Learning & Statistics,Collaboration Opportunity for StatQuest,"Hi StatQuest,

I came across your channel and your StatQuest approach to making statistics and machine learning concepts crystal clear.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI statistics tutor that explains ML concepts in plain language, the way your audience already loves learning.

Would this be relevant to you?

Best,
Dhurim Halili"
Kevin Powell,https://www.youtube.com/@Kepowob,Frontend CSS & HTML,Collaboration Opportunity for Kevin Powell,"Hi Kevin Powell,

I came across your channel and your CSS and modern frontend tutorials that help developers write better, more maintainable styles.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI frontend assistant that generates and debugs CSS/HTML with conversational feedback.

Would this be relevant to you?

Best,
Dhurim Halili"
Ben Eater,https://www.youtube.com/@BenEater,Hardware & Computing Architecture,Collaboration Opportunity for Ben Eater,"Hi Ben Eater,

I came across your channel and your breadboard computer builds and hardware tutorials that explain computing from the ground up.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI-powered hardware documentation chatbot that helps makers troubleshoot electronics projects.

Would this be relevant to you?

Best,
Dhurim Halili"
Dave Farley,https://www.youtube.com/@ContinuousDelivery,DevOps & System Architecture,Collaboration Opportunity for Dave Farley,"Hi Dave Farley,

I came across your channel and your continuous delivery and software engineering excellence content for professional dev teams.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI DevOps assistant that integrates into CI/CD pipelines and answers infrastructure questions via chatbot.

Would this be relevant to you?

Best,
Dhurim Halili"
Steve Huynh,https://www.youtube.com/@ALifeEngineered,Big Tech Careers & Software,Collaboration Opportunity for Steve Huynh,"Hi Steve Huynh,

I came across your channel and your big tech career insights and software engineering advice from someone who's been in the room.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI career coaching chatbot that helps developers prepare for interviews and level up their skills.

Would this be relevant to you?

Best,
Dhurim Halili"
AI Advantage,https://www.youtube.com/@aiadvantage,AI Productivity & Prompting,Collaboration Opportunity for AI Advantage,"Hi AI Advantage,

I came across your channel and your AI productivity tips and prompt engineering tutorials for getting real results from AI tools.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI productivity suite with advanced prompting and custom chatbot workflows for power users.

Would this be relevant to you?

Best,
Dhurim Halili"
Jack Herrington,https://www.youtube.com/@jherr,Advanced Frontend React,Collaboration Opportunity for Jack Herrington,"Hi Jack Herrington,

I came across your channel and your advanced React, TypeScript, and full-stack frontend content for experienced developers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI React code assistant that helps developers architect components and debug complex frontend issues.

Would this be relevant to you?

Best,
Dhurim Halili"
Dwarkesh Patel,https://www.youtube.com/@DwarkeshPatel,AI Alignment & Policy Podcasts,Collaboration Opportunity for Dwarkesh Patel,"Hi Dwarkesh Patel,

I came across your channel and your deep podcast conversations on AI alignment, policy, and the long-term future of intelligence.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI platform with transparent safety practices and open dialogue about capabilities and limitations.

Would this be relevant to you?

Best,
Dhurim Halili"
MKBHD,https://www.youtube.com/@mkbhd,Consumer Tech & Hardware,Collaboration Opportunity for MKBHD,"Hi MKBHD,

I came across your channel and your premium consumer tech reviews and the quality bar you set for honest hardware coverage.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI assistant app with a polished consumer experience your audience would expect from a flagship tech product.

Would this be relevant to you?

Best,
Dhurim Halili"
Dave2D,https://www.youtube.com/@Dave2D,Laptops & Gadget Design,Collaboration Opportunity for Dave2D,"Hi Dave2D,

I came across your channel and your clean, design-focused laptop and gadget reviews that help people buy smarter.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI-powered device recommendation chatbot that matches users to the right laptop based on their workflow.

Would this be relevant to you?

Best,
Dhurim Halili"
Linus Tech Tips,https://www.youtube.com/@LinusTechTips,Computing Hardware & Systems,Collaboration Opportunity for Linus Tech Tips,"Hi Linus Tech Tips,

I came across your channel and your computing hardware reviews, builds, and the LTT Labs approach to testing tech honestly.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI PC building assistant chatbot that helps viewers pick compatible parts and optimize their setups.

Would this be relevant to you?

Best,
Dhurim Halili"
Austin Evans,https://www.youtube.com/@austinevans,Hardware & Gaming Tech,Collaboration Opportunity for Austin Evans,"Hi Austin Evans,

I came across your channel and your hardware and gaming tech reviews that balance performance, value, and everyday usability.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI tech advisor chatbot that helps gamers and creators find the right hardware for their setup.

Would this be relevant to you?

Best,
Dhurim Halili"
Mrwhosetheboss,https://www.youtube.com/@mrwhosetheboss,Mobile Tech & Gadget Reviews,Collaboration Opportunity for Mrwhosetheboss,"Hi Mrwhosetheboss,

I came across your channel and your mobile tech reviews and smartphone comparisons that millions trust before buying.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI mobile assistant app with smart chatbot features designed for the smartphone power users you reach.

Would this be relevant to you?

Best,
Dhurim Halili"
JerryRigEverything,https://www.youtube.com/@JerryRigEverything,Tech Durability & Hardware,Collaboration Opportunity for JerryRigEverything,"Hi JerryRigEverything,

I came across your channel and your durability tests and teardowns that reveal what's really inside the devices people buy.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI repair and device support chatbot that helps users troubleshoot hardware issues post-purchase.

Would this be relevant to you?

Best,
Dhurim Halili"
Unbox Therapy,https://www.youtube.com/@unboxtherapy,Consumer Tech & Gadget Unboxing,Collaboration Opportunity for Unbox Therapy,"Hi Unbox Therapy,

I came across your channel and your gadget unboxings and first-look coverage of the latest consumer tech hitting the market.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI shopping assistant chatbot that helps viewers discover and compare the latest gadgets.

Would this be relevant to you?

Best,
Dhurim Halili"
The Tech Chap,https://www.youtube.com/@TheTechChap,Laptops & High-End Gadgets,Collaboration Opportunity for The Tech Chap,"Hi The Tech Chap,

I came across your channel and your laptop reviews and high-end gadget coverage tailored for professionals and creators.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI laptop finder chatbot that recommends the best machine based on use case, budget, and workflow.

Would this be relevant to you?

Best,
Dhurim Halili"
Daniel Bourke,https://www.youtube.com/@mrdbourke,Machine Learning Tutorials,Collaboration Opportunity for Daniel Bourke,"Hi Daniel Bourke,

I came across your channel and your end-to-end machine learning project tutorials that take viewers from zero to deployed model.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI/ML learning platform with guided chatbot support for students building their first models.

Would this be relevant to you?

Best,
Dhurim Halili"
Web Dev Simplified,https://www.youtube.com/@WebDevSimplified,Web Development Tutorials,Collaboration Opportunity for Web Dev Simplified,"Hi Web Dev Simplified,

I came across your channel and your simplified web development tutorials that cut through complexity and teach practical skills.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI web dev tutor chatbot that gives learners instant help on HTML, CSS, and JavaScript concepts.

Would this be relevant to you?

Best,
Dhurim Halili"
DeepLearning.AI,https://www.youtube.com/@Deeplearningai,ML/DL Courses & News,Collaboration Opportunity for DeepLearning.AI,"Hi DeepLearning.AI,

I came across your channel and your Andrew Ng-affiliated deep learning courses and AI education that millions of learners rely on.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI learning companion chatbot that supplements ML courses with on-demand Q&A and practice.

Would this be relevant to you?

Best,
Dhurim Halili"
Henry AI Labs,https://www.youtube.com/@henryailabs,AI Research Updates,Collaboration Opportunity for Henry AI Labs,"Hi Henry AI Labs,

I came across your channel and your timely AI research update videos that keep practitioners current on the latest breakthroughs.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI research digest platform that auto-summarizes new papers and lets users chat with findings.

Would this be relevant to you?

Best,
Dhurim Halili"
ArXiv Insights,https://www.youtube.com/@ArxivInsights,ML Research Summaries,Collaboration Opportunity for ArXiv Insights,"Hi ArXiv Insights,

I came across your channel and your ArXiv paper breakdowns that make cutting-edge ML research accessible to a wider audience.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI paper-reading assistant that generates summaries and answers questions about new research.

Would this be relevant to you?

Best,
Dhurim Halili"
Clever Programmer,https://www.youtube.com/@CleverProgrammer,Coding & AI Tools,Collaboration Opportunity for Clever Programmer,"Hi Clever Programmer,

I came across your channel and your coding tutorials and AI tools content that helps developers level up and land jobs.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI coding bootcamp companion with chatbot-powered interview prep and project feedback.

Would this be relevant to you?

Best,
Dhurim Halili"
Net Ninja,https://www.youtube.com/@NetNinja,Web Development Tutorials,Collaboration Opportunity for Net Ninja,"Hi Net Ninja,

I came across your channel and your structured web development crash courses covering everything from HTML to Node and beyond.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI web development tutor that follows along with your crash course format for instant learner support.

Would this be relevant to you?

Best,
Dhurim Halili"
Sebastian Lague,https://www.youtube.com/@SebastianLague,Coding & Algorithms,Collaboration Opportunity for Sebastian Lague,"Hi Sebastian Lague,

I came across your channel and your coding adventures and algorithm visualizations that make computer science concepts come alive.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI algorithm visualizer with a chatbot that explains CS concepts step by step.

Would this be relevant to you?

Best,
Dhurim Halili"
Academind,https://www.youtube.com/@academind,Web/JS Frameworks & Tutorials,Collaboration Opportunity for Academind,"Hi Academind,

I came across your channel and your comprehensive web and JavaScript framework tutorials from React to Node and beyond.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI framework tutor chatbot that helps developers learn React, Vue, and Angular through conversation.

Would this be relevant to you?

Best,
Dhurim Halili"
CodeWithChris,https://www.youtube.com/@CodeWithChris,iOS App Development,Collaboration Opportunity for CodeWithChris,"Hi CodeWithChris,

I came across your channel and your iOS app development tutorials that guide beginners through building real Swift applications.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Swift coding assistant that helps aspiring iOS developers debug and learn while building apps.

Would this be relevant to you?

Best,
Dhurim Halili"
CS Dojo,https://www.youtube.com/@CSDojo,Python & Coding Bootcamp,Collaboration Opportunity for CS Dojo,"Hi CS Dojo,

I came across your channel and your Python programming and computer science fundamentals that launched so many coding careers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Python tutor chatbot designed for beginners following a structured CS curriculum.

Would this be relevant to you?

Best,
Dhurim Halili"
Abdul Bari,https://www.youtube.com/@abdul_bari,Algorithms & Data Structures,Collaboration Opportunity for Abdul Bari,"Hi Abdul Bari,

I came across your channel and your algorithms and data structures lectures that CS students worldwide use to ace their courses.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI DSA tutor that walks students through algorithm problems with the clarity your lectures provide.

Would this be relevant to you?

Best,
Dhurim Halili"
Tech With Tim,https://www.youtube.com/@TechWithTim,"Python, ML & Game Dev",Collaboration Opportunity for Tech With Tim,"Hi Tech With Tim,

I came across your channel and your Python, machine learning, and game development project tutorials for hands-on learners.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI project mentor chatbot that guides developers through Python and ML builds step by step.

Would this be relevant to you?

Best,
Dhurim Halili"
Hussein Nasser,https://www.youtube.com/@hnasr,Computer Networks & Dev,Collaboration Opportunity for Hussein Nasser,"Hi Hussein Nasser,

I came across your channel and your backend engineering and computer networking deep dives for developers who want to understand systems.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI backend architecture assistant that answers system design and networking questions via chatbot.

Would this be relevant to you?

Best,
Dhurim Halili"
Ben Awad,https://www.youtube.com/@bawad,Full-Stack Dev,Collaboration Opportunity for Ben Awad,"Hi Ben Awad,

I came across your channel and your full-stack development vlogs and projects that show the real day-to-day of building software.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI pair-programming assistant that helps indie developers ship full-stack features faster.

Would this be relevant to you?

Best,
Dhurim Halili"
Brackeys,https://www.youtube.com/@Brackeys,Game Development & Unity,Collaboration Opportunity for Brackeys,"Hi Brackeys,

I came across your channel and your Unity game development tutorials that introduced an entire generation to game dev.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI game dev assistant that helps Unity developers debug scripts and design game mechanics via chatbot.

Would this be relevant to you?

Best,
Dhurim Halili"
Gary Explains,https://www.youtube.com/@GaryExplains,Tech Explainers,Collaboration Opportunity for Gary Explains,"Hi Gary Explains,

I came across your channel and your deep technical explainers on mobile processors, AI chips, and how modern technology actually works.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI chip and hardware explainer chatbot that answers technical questions about processors and AI acceleration.

Would this be relevant to you?

Best,
Dhurim Halili"
Engineer Man,https://www.youtube.com/@EngineerMan,Software Engineering,Collaboration Opportunity for Engineer Man,"Hi Engineer Man,

I came across your channel and your software engineering tips, code reviews, and practical advice for working developers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI code review chatbot that gives developers instant feedback on best practices and clean code.

Would this be relevant to you?

Best,
Dhurim Halili"
Krish Naik,https://www.youtube.com/@krishnaik06,Data Science & ML,Collaboration Opportunity for Krish Naik,"Hi Krish Naik,

I came across your channel and your data science and end-to-end machine learning tutorials used by aspiring ML engineers everywhere.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI data science mentor chatbot that guides learners through ML projects from EDA to deployment.

Would this be relevant to you?

Best,
Dhurim Halili"
ColdFusion,https://www.youtube.com/@ColdFusion,Tech Documentary & AI,Collaboration Opportunity for ColdFusion,"Hi ColdFusion,

I came across your channel and your tech documentary storytelling that covers AI history, industry shifts, and the companies shaping tech.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI platform with a compelling story behind it that fits the narrative-driven tech coverage you create.

Would this be relevant to you?

Best,
Dhurim Halili"
CodeBullet,https://www.youtube.com/@CodeBullet,AI Programming Experiments,Collaboration Opportunity for CodeBullet,"Hi CodeBullet,

I came across your channel and your entertaining AI programming experiments where you let algorithms loose on game development challenges.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI game-building platform that lets creators experiment with AI-driven game logic and agents.

Would this be relevant to you?

Best,
Dhurim Halili"
Derek Banas,https://www.youtube.com/@derekbanas,Programming Tutorials,Collaboration Opportunity for Derek Banas,"Hi Derek Banas,

I came across your channel and your massive library of programming tutorials spanning dozens of languages and frameworks.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI multi-language coding tutor chatbot that supports learners across the many languages you teach.

Would this be relevant to you?

Best,
Dhurim Halili"
TheNewBoston,https://www.youtube.com/@thenewboston,General Programming,Collaboration Opportunity for TheNewBoston,"Hi TheNewBoston,

I came across your channel and your foundational programming tutorials that helped millions of developers write their first lines of code.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI programming tutor chatbot built for beginners discovering coding for the first time.

Would this be relevant to you?

Best,
Dhurim Halili"
